id,x,y,z,address,panel,feather,rung,spiral,controllerID,controllerChannel,position
42,23.49213867,23.87080029,0,8,0,10,16,0,1,0,0
43,19.78564061,20.1093022,0,9,0,10,18,0,1,0,0
44,17.19725338,17.48213542,0,10,0,10,20,0,1,0,0
45,14.49607082,14.7091418,0,11,0,10,22,0,1,0,0
46,55.74298286,96.56576081,0,1,0,9,1,0,1,0,0
47,47.92455344,83.02158026,0,2,0,9,3,0,1,0,0
48,40.16458862,69.57865962,0,3,0,9,5,0,1,0,0
49,34.51513675,59.79192205,0,4,0,9,7,0,1,0,0
50,29.66064594,51.38227184,0,5,0,9,9,0,1,0,0
51,24.83812365,43.02805473,0,6,0,9,11,0,1,0,0
52,21.32902727,36.94911444,0,7,0,9,13,0,1,0,0
53,18.30918312,31.71773366,0,8,0,9,15,0,1,0,0
54,15.31717363,26.53454189,0,9,0,9,17,0,1,0,0
55,13.14772364,22.77635088,0,10,0,9,19,0,1,0,0
56,11.26536041,19.51544361,0,11,0,9,21,0,1,0,0
57,9.454335814,16.37815845,0,12,0,9,23,0,1,0,0
58,26.11469914,100.7135977,0,1,0,8,2,0,1,0,0
59,22.02469693,84.94232933,0,2,0,8,4,0,1,0,0
60,18.57764783,71.65027491,0,3,0,8,6,0,1,0,0
61,16.16646542,62.35255336,0,4,0,8,8,0,1,0,0
62,13.62299948,52.54479215,0,5,0,8,10,0,1,0,0
63,11.48299833,44.29274045,0,6,0,8,12,0,1,0,0
64,9.987288858,38.51726489,0,7,0,8,14,0,1,0,0
65,8.410004541,32.41863955,0,8,0,8,16,0,1,0,0
66,7.080712485,27.30784939,0,9,0,8,18,0,1,0,0
67,6.152641118,23.73847739,0,10,0,8,20,0,1,0,0
68,5.199766587,19.98642812,0,11,0,8,22,0,1,0,0
69,-0.0060236253,111.4998634,0,1,0,7,1,0,1,0,0
70,-0.0051574831,95.86107539,0,2,0,7,3,0,1,0,0
71,-0.004330711,80.33917724,0,3,0,7,5,0,1,0,0
72,-0.0037007894,69.03889555,0,4,0,7,7,0,1,0,0
73,-0.0031889781,59.32869345,0,5,0,7,9,0,1,0,0
74,-0.0026771668,49.68246777,0,6,0,7,11,0,1,0,0
75,-0.0022834658,42.66340887,0,7,0,7,13,0,1,0,0
76,-0.001968505,36.62297253,0,8,0,7,15,0,1,0,0
77,-0.0016535442,30.63816615,0,9,0,7,17,0,1,0,0
78,-0.0014173236,26.29875436,0,10,0,7,19,0,1,0,0
79,-0.0012204731,22.53355548,0,11,0,7,21,0,1,0,0
80,-0.0010236226,18.9110732,0,12,0,7,23,0,1,0,0
81,-27.33631397,100.3889125,0,1,0,6,2,0,1,0,0
82,-23.05603607,84.6682347,0,2,0,6,4,0,1,0,0
83,-19.44863255,71.41877872,0,3,0,6,6,0,1,0,0
84,-16.92528473,62.15086033,0,4,0,6,8,0,1,0,0
85,-14.26347227,52.37455584,0,5,0,6,10,0,1,0,0
86,-12.02390413,44.14896085,0,6,0,6,12,0,1,0,0
87,-10.45469068,38.39305223,0,7,0,6,14,0,1,0,0
88,-8.795831521,32.31608044,0,8,0,6,16,0,1,0,0
89,-7.412169357,27.21973911,0,9,0,6,18,0,1,0,0
